case_id,disclosure_date,network,chain_id,address,indicator_type,entity,role,source_confidence,control_confidence,attribution_scope,monitoring,priority,threat_label,notes,source
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TA315GUGunjKDhv1ZL1YTvy7asPzJhAtL1,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 23 in the June 25 2025 affidavit. Transactional neighbors and service wallets do not inherit the label.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TS4toQBwagdM2oD1Q9eNqWoL8s7fMg5U2b,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 24 in the June 25 2025 affidavit. Transactional neighbors and service wallets do not inherit the label.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TWsomy6GFJqhswDjJcufPgTpMKGhwcVhdw,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 25 in the June 25 2025 affidavit. Transactional neighbors and service wallets do not inherit the label.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TVWRL9AY81gDdChuYiCfiNm5U39DNTyQwG,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 26 in the June 25 2025 affidavit. Transactional neighbors and service wallets do not inherit the label.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TYjWo3X1eFm8ufpb1jPQf8xv5bfriszGgq,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 27 in the June 25 2025 affidavit. Transactional neighbors and service wallets do not inherit the label.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TM1ywQ3ApL8ai2VTR6515fmzNdgFdKfa6J,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 28 in the June 25 2025 affidavit; direct fundraising-email evidence is documented in the filing.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TAbC5hoom3mktAGf3KZBNdxhEEujdUtpWG,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 29 in the June 25 2025 affidavit; direct fundraising-email evidence is documented in the filing.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TFBnvjWAjXkRAigJSPR5YqzowMNT85y1YZ,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,official seizure-target donation and financing address,high,medium-high,official Hamas fundraising-network attribution; individual controller not identified,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 30 in the June 25 2025 affidavit; direct fundraising-email evidence is documented in the filing.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TDeBgBrQjgySyP9zPje3CRBCT2MQd13hy3,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,directly solicited donation address,high,high,address supplied by Al-Qassam fundraising email to a prospective donor,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 31; affidavit documents a response from the fundraising email supplying the address.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
HAMAS-AL-QASSAM-2026-09-01,2026-09-01,TRON,tron-mainnet,TWE3K4dctpkdQgXG5VRHU4ND1ssh3HCCFg,wallet,Hamas / Al-Qassam cryptocurrency fundraising network,directly solicited donation address,high,high,address supplied by Al-Qassam fundraising email to a prospective donor,watch directly for deposits consolidation exchange routing and reuse,P1,true,Target Property 32; affidavit documents a response from the fundraising email supplying the address.,https://www.justice.gov/usao-dc/media/1459826/dl?inline=
