case_id,incident_date,network,chain_id,address,indicator_type,entity,role,source_confidence,control_confidence,attribution_scope,monitoring,priority,threat_label,notes,source
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Ethereum","1","0xa1a15f1b0d4878873f2933573e4385ab1e4df25c","wallet","Rain legacy Solana card-contract exploit","pre-exploit funding seed that bridged operating gas to Solana through deBridge","high","unknown","direct-watch malicious pre-exploit infrastructure; common ownership with Solana exploiter unresolved","watch directly and graph expand for capital provisioning CEX exposure prior campaigns deployments and preparatory activity","P1","true","Blockaid says this address funded the Solana operation and was already flagged as malicious. SolScanner reports it bridged approximately 1.79 SOL of operating gas through deBridge. Incident linkage is high confidence; common control is not established.","https://etherscan.io/address/0xa1a15f1b0d4878873f2933573e4385ab1e4df25c | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage | https://www.solscanner.app/blog/inside-the-avici-exploit"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Ethereum","1","0x775028b2ce02844e8947905e4d655940a76cf559","wallet","Rain legacy Solana card-contract exploit","upstream pre-exploit funding seed in the path to the Solana operation","high","unknown","direct-watch malicious pre-exploit infrastructure; common ownership with Solana exploiter unresolved","watch directly and graph expand for capital provisioning CEX exposure prior campaigns deployments and preparatory activity","P1","true","Blockaid says this address funded the Solana operation and was already flagged as malicious. SolScanner places it upstream of 0xa1a15f1b0d4878873f2933573e4385ab1e4df25c. Incident linkage is high confidence; common control is not established.","https://etherscan.io/address/0x775028b2ce02844e8947905e4d655940a76cf559 | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage | https://www.solscanner.app/blog/inside-the-avici-exploit"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","FVNFzqAny8spWdPmYw6RQ9TkYa29ueFFiqCFD1gQnCEj","wallet","Rain legacy Solana card-contract exploit","principal drainer collection wallet and source of the 10000 SOL proceeds transfer","high","high","direct attacker-linked exploit wallet","watch directly for funding reuse swaps consolidation bridge routes exchange deposits and residual token accounts","P1","true","Complete address published by independent transaction-level reporting. Blockaid reconstructed 2945 unauthorized AddCollateralAdmin calls and 5288 WithdrawCollateralAsset calls funneling USDC and USDT here across 8233 core exploit transactions. Earlier truncated FVNFzq...CEj form was not reconstructed.","https://solscan.io/account/FVNFzqAny8spWdPmYw6RQ9TkYa29ueFFiqCFD1gQnCEj | https://thedefiant.io/news/hacks/attacker-drains-more-than-usd1-million-from-avici-users-in-live-solana-neobank-attack | https://www.solscanner.app/blog/inside-the-avici-exploit | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","4kjsW9dPsqzvuhQVP3P23cvZisdoHE5dR8NdD1TMPKKE","wallet","Rain legacy Solana card-contract exploit","proceeds and conversion wallet receiving more than 1 million USD in SOL before USDC swaps","high","high","direct attacker-linked proceeds wallet","watch directly for SOL and USDC movement bridge routes exchange deposits and reuse","P1","true","Transaction-level tracing identifies this as the next Solana proceeds wallet in the exploit path. Service and swap counterparties do not inherit the attacker label.","https://solscan.io/account/4kjsW9dPsqzvuhQVP3P23cvZisdoHE5dR8NdD1TMPKKE | https://x.com/inno_sol/status/2093415789848412448"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Ethereum","1","0x2cE21E4921d3Eb116526c3651Dac0257657338D5","wallet","Rain legacy Solana card-contract exploit","cross-chain laundering and proceeds pivot routing Ethereum-side funds toward Tornado Cash","high","medium-high","high-confidence incident-linked laundering and proceeds wallet","watch directly for ETH movement Tornado Cash deposits exchange deposits and recovery activity","P1","true","Onchain Lens traced 10000 SOL to approximately 1.02 million USDC and the Ethereum-side proceeds wallet. Blockaid reports approximately 455.9 ETH ultimately entered Tornado Cash. Mixer contracts remain infrastructure and are not attacker controlled by association.","https://etherscan.io/address/0x2cE21E4921d3Eb116526c3651Dac0257657338D5 | https://x.com/OnchainLens/status/2093501494033273339 | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","26DkA98jjctzPkBEteUsN935CR4dsKx3XvjrtE7MeL4a","program","Rain legacy Solana card contracts","drained Rain legacy card-contract deployment","high","high","victim protocol infrastructure","retain for exploit-call filtering and exposure analysis; do not threat-label","CONTEXT","false","Blockaid identifies this as the drained legacy Rain deployment used in its exploit reconstruction. Vulnerable victim infrastructure is not attacker controlled by association.","https://solscan.io/account/26DkA98jjctzPkBEteUsN935CR4dsKx3XvjrtE7MeL4a | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","CWgkFB7ngUc9cGD1LryyhP7h6xYWtwrAjhSKKCoR1gkz","program","Rain legacy Solana card contracts","same-opcode Rain legacy card-contract deployment","high","high","victim protocol infrastructure","retain for exploit-call filtering and exposure analysis; do not threat-label","CONTEXT","false","Blockaid found the same bytecode and opcode hash across four Rain deployments and confirmed at least two were drained. This row does not infer a deployment-specific loss not stated in the post-mortem.","https://solscan.io/account/CWgkFB7ngUc9cGD1LryyhP7h6xYWtwrAjhSKKCoR1gkz | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","3zVB27Gap6fbxpAcV2hsBBUcV3vRjkCikBXREiyBzDuc","program","Rain legacy Solana card contracts","same-opcode Rain legacy deployment with no confirmed loss disclosed","high","high","victim protocol infrastructure","retain for exploit-call filtering and exposure analysis; do not threat-label","CONTEXT","false","Blockaid says this deployment contained the same bug but no confirmed loss was disclosed. Protocol infrastructure only.","https://solscan.io/account/3zVB27Gap6fbxpAcV2hsBBUcV3vRjkCikBXREiyBzDuc | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Solana","solana-mainnet-beta","8r2jms1vAnHhtCWxDNSgiHvQNSzzJvGa9oBRCbBPCBNN","program","Rain legacy Solana card contracts","same-opcode Rain legacy deployment with no confirmed loss disclosed","high","high","victim protocol infrastructure","retain for exploit-call filtering and exposure analysis; do not threat-label","CONTEXT","false","Blockaid says this deployment contained the same bug but no confirmed loss was disclosed. Protocol infrastructure only.","https://solscan.io/account/8r2jms1vAnHhtCWxDNSgiHvQNSzzJvGa9oBRCbBPCBNN | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
"RAIN-SOLANA-CARDS-2026-08-28","2026-08-28","Ethereum","1","0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b","contract","Tornado Cash","router receiving incident-linked laundering flows","high","high","laundering infrastructure","retain for flow reconstruction and filtering; do not threat-label","CONTEXT","false","Blockaid identifies this as the Tornado Cash router used in the downstream flow. It is service infrastructure and must not inherit the attacker label.","https://etherscan.io/address/0xd90e2f925DA726b50C4Ed8D0Fb90Ad053324F31b | https://blockaid.io/blog/11m-rain-ecosystem-exploit-how-onchain-monitoring-gives-stablecoin-card-issuers-fleet-level-coverage"
