case_id,incident_date,report_date,target,network,classification,estimated_loss,confidence,status,direct_seed_count,notes
MAYA-2026-08-18,2026-08-18,2026-08-19,Maya Protocol / MAYAChain,MAYAChain and external L1s,chained protocol accounting and state-management exploit,approximately $1.7M direct,high,confirmed,3,"MAYAChain attacker plus BTC and Arbitrum proceeds addresses; $1.36M hard assets moved externally; roughly $10.9M-$11M broader pool and market effect is not the stolen amount"
ALLBRIDGE-CCTP-2026-08-19,2026-08-19,2026-08-21,Allbridge CCTP / Allbridge Next,Polygon preparation and Base execution,cross-chain message-validation and internal-accounting exploit,approximately $189751.55 attacker profit / $191112 legitimate Router liquidity,high,confirmed,0,no complete attacker EOA or contract retained from authoritative reporting; distinct from July 19 Solana incident
AML-CHECKER-2026-08-19,,2026-08-19,Fake AMLBot and AML-checker sites,multi-chain users,wallet drainer and malicious approval phishing,unknown,high campaign / unknown loss,confirmed campaign,0,no complete attacker wallet cluster verified
FOX-2026-08-15,2026-08-15,2026-08-15,FoxMarket,BNB Chain,flash-loan-assisted spot-oracle manipulation,approximately $118.7K,high,confirmed,1,victim contract excluded from threat labels
HYPERLIQUID-PHISH-2026-08-13,2026-08-13,2026-08-13,Hyperliquid impersonation,Ethereum user,sponsored-search phishing and wallet drain,approximately 550019 USDC,high loss / medium-high attribution,confirmed user drain,3,not a Hyperliquid protocol exploit
ETH-WHALE-2026-08-12,2026-08-12,2026-08-12,Ethereum whale wallet,Ethereum,wallet or signing-environment compromise,approximately $25.6M,high incident / medium root cause,confirmed drain,1,stale approvals not established as the 2026 cause
HARMONY-2026-08-11,2026-08-11,2026-08-12,Harmony,Harmony,L1 cross-shard receipt and quorum-validation flaw,approximately $3.2M initial estimate,high,confirmed,4,"initial 4B ONE and later >3T ONE issuance estimates are preserved separately"
COINSBUY-2026-08-09,2026-08-09,2026-08-10,Coinsbuy,Ethereum and TRON,coordinated wallet drain and laundering with unresolved access vector,more than $7.9M / approximately $8.07M,high incident linkage / unknown root cause,confirmed drain,3,three Specter-published theft/proceeds addresses; attacker identity and specific compromise mechanism unknown
ODY-2026-07-28,2026-07-28,2026-08-11,ODY / Odyssey / Ody DeFi,BNB Chain,privileged mint and liquidity-extraction exit scam,approximately $15M-$15.67M USDT,medium-high,confirmed by security reporting,0,critical public identifiers remain truncated and are withheld
COLDCARD-2026-07-30,2026-07-30,2026-08-05,Coldcard,Bitcoin with Ethereum laundering,weak seed entropy and offline key brute forcing,approximately 1816 BTC / $116M,high vulnerability / medium actor clustering,ongoing,1,one Ethereum laundering pivot retained; multiple attackers may be involved
