transaction_hash,network,chain_id,timestamp_utc,classification,origin_address,destination_address,contract_address,function,confidence,source,notes
4f4f81d9a19df2dc5f39033288b5259199c4c78c57b668d89e602628ff647816,Verus,,2026-07-22T23:17:00Z,genuine_notarization,,,,"Verus notarization",high,CertiK,"Genuine notarization preceding the malicious duplicate-root sequence"
0c24765b6d4daa745e38b09f46382d1a457966e1c128265b87dc2b5a3fd16280,Verus,,2026-07-22T23:49:00Z,malicious_notarization,,,,"Verus notarization",high,CertiK,"First notarization containing malicious duplicate state-root entries"
f5f0d9056163edaa8497857226dd0905e10f044063ba77cedc3fc7589d3bf10c,Verus,,2026-07-22T23:59:00Z,malicious_notarization,,,,"Verus notarization",high,CertiK,"Second notarization containing malicious duplicate state-root entries"
5b5043febfd7f7c089e976d11d0f87a904881266bb96dd118b3d69b0e02aab52,Verus,,2026-07-23T01:48:00Z,source_export_request,RXo2PqXjgRVJ8w8QVDErVqVLavz4TToyuu,,i3f7tSctFkiPpiedY8QR5Tep9p4qDVebDx,"Cross-chain export request",high,CertiK,"Approximately 0.01 VRSC export used as the basis for the fabricated Ethereum import"
86ed26828ce450fbac300c9f9c561190f08fb61942ba0e3f769e63992ff80359,Verus,,2026-07-23T01:51:00Z,converter_processing,,,,"Converter processing",high,CertiK,"Processed the source-chain export request"
7c4fc207ff2c005acf870b5ae2b3dffac61450d629acfdc4b2b1d589dcd52d76,Verus,,2026-07-23T01:51:00Z,cross_chain_transfer_emission,,,,"Cross-chain transfer",high,CertiK,"Emitted the actual cross-chain transfer data"
e26e270d33543520abf4948980edbe62adf85564e512f43cc6da0808ca4e09a6,Verus,,2026-07-23T01:51:00Z,batch_export,,,,"LuckPool batch transfer",high,CertiK,"Batched the export through LuckPool"
0c5843f87f3ef1c9ea31ec4b6c601101eec8592ec476a03a53dd6e400df05c6e,Verus,,2026-07-23T03:08:00Z,malicious_notarization,,,,"Verus notarization",high,CertiK,"Third notarization containing malicious state-root entries"
0x8f21bd8f0fce72ac959caa93a9923d85f902dfc6eddac2785ac5bc49c3b28d8f,Ethereum,1,2026-07-23T03:23:35Z,state_root_injection,0xBda71b58cEc0b1C20A8f87cCD52FA0679747855c,0x71518580f36FeCEFfE0721F06bA4703218cD7F63,0x71518580f36FeCEFfE0721F06bA4703218cD7F63,setLatestData,high,"CertiK and Etherscan","First Ethereum call relaying poisoned notarization data"
0x51b1c8341da4092b7d1e0e4865f7b318de4e96245358b05b2bff2df50adaf0c9,Ethereum,1,2026-07-23T03:41:47Z,state_root_injection,0xBda71b58cEc0b1C20A8f87cCD52FA0679747855c,0x71518580f36FeCEFfE0721F06bA4703218cD7F63,0x71518580f36FeCEFfE0721F06bA4703218cD7F63,setLatestData,high,"CertiK and Etherscan","Second Ethereum call relaying the later poisoned notarization"
0xa1f1e65c1cea4dba4ae439cd4dcdba6cc2dbda0ed1228e61f29ae9c9324eb099,Ethereum,1,2026-07-23T03:45:59Z,forged_import_and_bridge_drain,0xBda71b58cEc0b1C20A8f87cCD52FA0679747855c,0xCFd0A20703cD11E0b9f665e1C3F1Ef989C142D54,0x71518580f36FeCEFfE0721F06bA4703218cD7F63,submitImports,high,"CertiK and Etherscan","Forged import withdrew bridge reserves including 1137.45281584 ETH and multiple ERC-20 assets to the profit wallet"

