case_id,incident_date,network,chain_id,address,indicator_type,entity,role,source_confidence,control_confidence,attribution_scope,monitoring,priority,threat_label,notes,source
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r","wallet","COLDCARD weak-entropy theft","confirmed exploit-linked Bitcoin custody address with 562.02147793 BTC dormant at snapshot","high","medium-high","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch directly for first spend consolidation exchange exposure mixers and cross-chain routes","P1","true","No UTXOs spent at Bitquery's September 3 snapshot. Balance and dormant status are time-sensitive.","https://mempool.space/address/bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1qx76cae2706qd5q576feh7xq8rfcsjpf2htfhe3","wallet","COLDCARD weak-entropy theft","confirmed exploit-linked Bitcoin custody address with 398.47576957 BTC dormant at snapshot","high","medium-high","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch directly for first spend consolidation exchange exposure mixers and cross-chain routes","P1","true","No UTXOs spent at Bitquery's September 3 snapshot. Balance and dormant status are time-sensitive.","https://mempool.space/address/bc1qx76cae2706qd5q576feh7xq8rfcsjpf2htfhe3 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1q8jy96fe5lf8vfugydnte3cguk92gpev7kwtp3q","wallet","COLDCARD weak-entropy theft","confirmed exploit-linked Bitcoin custody address with 89.62329890 BTC dormant at snapshot","high","medium-high","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch directly for first spend consolidation exchange exposure mixers and cross-chain routes","P1","true","No UTXOs spent at Bitquery's September 3 snapshot. Balance and dormant status are time-sensitive.","https://mempool.space/address/bc1q8jy96fe5lf8vfugydnte3cguk92gpev7kwtp3q | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1qtfrwa4j6rmj9rsgspv6a0yjumkg39js2numu75","wallet","COLDCARD weak-entropy theft","confirmed exploit-linked Bitcoin custody address with 45.90254994 BTC dormant at snapshot","high","medium-high","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch directly for first spend consolidation exchange exposure mixers and cross-chain routes","P1","true","No UTXOs spent at Bitquery's September 3 snapshot. Balance and dormant status are time-sensitive.","https://mempool.space/address/bc1qtfrwa4j6rmj9rsgspv6a0yjumkg39js2numu75 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0","wallet","COLDCARD weak-entropy theft","confirmed exploit-linked Bitcoin address with 32.45061090 BTC and prior spends at snapshot","high","medium-high","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch directly and expand spend graph while preserving downstream tier distinctions","P1","true","Bitquery recorded 341 spent UTXOs at its September 3 snapshot. Balance and spend counts are time-sensitive.","https://mempool.space/address/bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Bitcoin","","bc1qmd5m5ktv7m5ffujxv4248fxv36myvdx79n8jp6","wallet","COLDCARD weak-entropy theft","confirmed historical exploit-linked Bitcoin address with minimal residual balance at snapshot","high","medium","Bitquery CONFIRMED tier; independently corroborated as this exploit; operator identity unresolved","watch historical spend graph and any address reuse without promoting every downstream node","P2","true","Bitquery recorded 93 spent UTXOs and 0.00002000 BTC remaining at its September 3 snapshot.","https://mempool.space/address/bc1qmd5m5ktv7m5ffujxv4248fxv36myvdx79n8jp6 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Ethereum","1","0x160a7A4c067B084F03400c6980Ac29F73F6782f6","wallet","COLDCARD Wave 3 laundering","primary cross-chain proceeds and consolidation destination receiving approximately 20.15 BTC of traced value across 26 THORChain swaps","high","high","memo-linked Wave 3 proceeds destination; real-world operator and cross-wave control unresolved","watch directly for ETH dispersal DEX activity bridges privacy protocols exchange deposits and consolidation","P1","true","THORChain memos directly encoded this destination. Bitquery observed approximately 649.5 ETH on September 3; later reporting cited approximately 644.5 ETH indicating downstream movement. Balances are time-sensitive.","https://eth.blockscout.com/address/0x160a7A4c067B084F03400c6980Ac29F73F6782f6 | https://bitquery.io/coldcard-hack/ | https://cryptoslate.com/parked-coldcard-loot-begins-moving-as-attacker-routes-1-6m-in-stolen-bitcoin-to-ethereum/"
"COLDCARD-2026-07-30","2026-07-30","Ethereum","1","0x8B5b650067841ff3bF28fF3EC8ED1eE635e3D200","wallet","COLDCARD Wave 3 laundering","secondary September THORChain destination receiving approximately 0.30 BTC of traced value across eight swaps","high","medium-high","memo-linked secondary proceeds destination; common control with other destinations unresolved","watch directly for ETH movement exchange deposits bridges privacy protocols and reuse","P2","true","Bitquery reported no outgoing transactions at its September 3 observation point. That state is time-sensitive and common ownership must not be inferred solely from the common incident path.","https://eth.blockscout.com/address/0x8B5b650067841ff3bF28fF3EC8ED1eE635e3D200 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Ethereum","1","0x6A08B5B20F23FcFE09f5da506Be59CAD1eC0df06","wallet","COLDCARD laundering","historical August 2 THORChain destination receiving approximately 0.24 BTC of traced value across two swaps","high","medium-high","memo-linked historical proceeds destination; common control with other destinations unresolved","watch directly as a historical cross-chain pivot and alert on reuse","P2","true","Complete address is publicly resolvable through Blockscout. Common ownership must not be inferred solely from the common incident path.","https://eth.blockscout.com/address/0x6A08B5B20F23FcFE09f5da506Be59CAD1eC0df06 | https://bitquery.io/coldcard-hack/"
"COLDCARD-2026-07-30","2026-07-30","Ethereum","1","0x41B7529a411EeA979a8d468bdEBd36b0ad703268","wallet","COLDCARD incident","earlier incident-linked Ethereum and Tornado Cash laundering pivot","high","medium","wider incident-linked laundering pivot; not proven to represent every theft wave","watch directly as an earlier laundering pivot while keeping it separate from the Wave 3 destination cluster","P2","true","Previously retained CertiK-published pivot. It is not the sole COLDCARD attacker and is not proof of one actor controlling all theft waves.","https://etherscan.io/address/0x41B7529a411EeA979a8d468bdEBd36b0ad703268 | https://x.com/CertiKAlert/status/2084920866526114183"
