case_id,network,chain_id,address,indicator_type,entity,role,source_confidence,control_confidence,attribution_scope,monitoring,priority,threat_label,notes,source
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg","token_mint","CYBERLEEK campaign","primary CYBERLEEK token mint","high","not_applicable","direct campaign asset infrastructure","watch exact mint and separate from same-ticker copycats","P1","false","Asset identifier rather than an actor wallet; mint and freeze authorities reported null.","https://solscan.io/token/ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg | https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","Hok9nbV89yBSKCttxe3goqajwbiqQa9mtHvQBsbJH3Np","wallet","CYBERLEEK campaign","token creator and Raydium pool creator","high","high","direct actor-linked wallet","watch directly for new deployments funding exchange deposits consolidation and Fee Key interactions","P1","true","Highest-priority actor-linked wallet; real-world controller identity remains unknown.","https://solscan.io/account/Hok9nbV89yBSKCttxe3goqajwbiqQa9mtHvQBsbJH3Np | https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","EVQ9RCaHggai12cje6vTtFfNkhBuJfFZHhbgB3yyprVw","token_account","CYBERLEEK campaign","original one-billion-token account","high","high","direct campaign token account","retain as historical evidence and monitor account reuse","P3","false","Current balance reported zero; token account should not be represented as an independent actor wallet.","https://solscan.io/account/EVQ9RCaHggai12cje6vTtFfNkhBuJfFZHhbgB3yyprVw | https://github.com/rain0x06/cyberleek-investigation"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","CbfbaNpCGV64g2fbLBC2NXKSygeJJuC7S6i36cy8RMPo","token_account","CYBERLEEK campaign","270M allocation account and burn source","high","high","direct campaign token account","retain as historical burn evidence and monitor account reuse","P3","false","Entire reported balance burned August 22; not a proceeds or dump wallet.","https://solscan.io/account/CbfbaNpCGV64g2fbLBC2NXKSygeJJuC7S6i36cy8RMPo | https://github.com/rain0x06/cyberleek-investigation"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","G8kgi7aUpeX8EVR8VMkrth9SKEv5BietWC33UjAiiMGh","liquidity_pool","Raydium","primary CYBERLEEK and WSOL CPMM pool","high","not_applicable","protocol liquidity infrastructure","monitor liquidity volume fee claims sell-side depth and price impact","P1","false","Protocol pool; do not threat-label as actor-controlled wallet.","https://solscan.io/account/G8kgi7aUpeX8EVR8VMkrth9SKEv5BietWC33UjAiiMGh | https://dexscreener.com/solana/G8kgi7aUpeX8EVR8VMkrth9SKEv5BietWC33UjAiiMGh"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","44isRZNypWAsseobWTKLcQP56A3STe8Um7XdstgFttrS","nft_mint","CYBERLEEK campaign","Raydium Fee Key NFT","high","high_at_snapshot","direct campaign revenue-rights infrastructure","alert on transfer sale wrapping collateralization or fee collection","P1","false","Critical revenue indicator; the NFT confers fee rights but is not itself a wallet.","https://solscan.io/token/44isRZNypWAsseobWTKLcQP56A3STe8Um7XdstgFttrS | https://docs.raydium.io/user-flows/burn-and-earn | https://github.com/rain0x06/cyberleek-investigation"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","Ec2qmcpCCD9hjahAcquiQf5JkZWCK68BUahCje1izYC7","wallet","CYBERLEEK funding path","purpose-built funding funnel into deployer","high","unknown","strongly linked financial-support node; ownership unresolved","watch directly for new inflows outflows feeder consolidation and deployer funding","P1","false","Sent 10 SOL and 311.42 SOL to deployer; linkage is high confidence but common control is not established.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","BS9f2jetmcwafD2AVrZMvdSf5qrsNNqdgVRifsRHWhci","context_wallet","CYBERLEEK funding path","high-volume upstream service or hub","medium","unknown","contextual funding pivot","graph expansion only; verify service role before attribution","P3","false","Transaction path reproduced; community phishing-proceeds claim and actor control remain unverified.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","J4zoc1rFgpP2Mrknb48BRRoQW9P5GiVtPyuemkKMpAnV","context_wallet","CYBERLEEK funding path","high-volume funding hub","medium","unknown","contextual funding pivot","graph expansion only; seek exchange-side evidence","P3","false","Community KuCoin route passes through this hub; Bitquery could not independently label the exchange terminus.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","26sZDubW854zGAasvrUaRAgY54MiC97CEHWZKPRMPMQ9","context_wallet","CYBERLEEK funding path","relay that forwarded 156 SOL","medium-high","unknown","contextual funding pivot","graph expansion only","P2","false","Observed flow is reproducible; ownership and intent remain unknown.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
